symbol,exchange,date,open_price,high_price,low_price,close_price,volume,daily_return,volatility,sma_5,sma_20,rsi,news_headlines,news_sentiment_score
TSLA,NASDAQ,2025-09-04,336.1499938964844,338.8900146484375,331.4800109863281,338.5299987792969,60711000,0.01328983953448204,nan,336.3659973144531,nan,nan,"Tesla Stock (NASDAQ:TSLA) Faces Uncertain Backdrop, Says Wolfe - Yahoo Finance",-1.0
TSLA,NASDAQ,2025-09-05,348.0,355.8699951171875,344.67999267578125,350.8399963378906,108989800,0.036363092201525005,nan,337.33799438476564,nan,58.672554123076196,"Tesla Stock (NASDAQ:TSLA) Faces Uncertain Backdrop, Says Wolfe - Yahoo Finance",-1.0
TSLA,NASDAQ,2025-09-08,354.6400146484375,358.44000244140625,344.8399963378906,346.3999938964844,75208300,-0.01265534855703887,nan,339.843994140625,nan,55.92575907739436,"Tesla Stock (NASDAQ:TSLA) Faces Uncertain Backdrop, Says Wolfe - Yahoo Finance",-1.0
TSLA,NASDAQ,2025-09-09,348.44000244140625,350.7699890136719,343.82000732421875,346.9700012207031,53816000,0.001645517708609212,nan,343.3659973144531,nan,59.8593044275319,"Tesla Stock (NASDAQ:TSLA) Faces Uncertain Backdrop, Says Wolfe - Yahoo Finance",-1.0
TSLA,NASDAQ,2025-09-10,350.54998779296875,356.3299865722656,346.07000732421875,347.7900085449219,72121700,0.0023633378140295314,nan,346.1059997558594,nan,64.05789606005101,"TSLA: Tesla Stock Soars to Seven-Month High on Energy Business Momentum - Yahoo Finance | Wells Fargo Reiterates Underweight on Tesla(TSLA), $120 Price Target - Yahoo Finance",1.0
TSLA,NASDAQ,2025-09-11,350.1700134277344,368.989990234375,347.6000061035156,368.80999755859375,103756000,0.06043873744853956,nan,352.16199951171876,nan,73.82582059976852,"TSLA: Tesla Stock Soars to Seven-Month High on Energy Business Momentum - Yahoo Finance | Wells Fargo Reiterates Underweight on Tesla(TSLA), $120 Price Target - Yahoo Finance",1.0
TSLA,NASDAQ,2025-09-12,370.94000244140625,396.69000244140625,370.239990234375,395.94000244140625,168156400,0.07356092584909457,nan,361.1820007324219,nan,75.5551335209621,"TSLA: Tesla Stock Soars to Seven-Month High on Energy Business Momentum - Yahoo Finance | Wells Fargo Reiterates Underweight on Tesla(TSLA), $120 Price Target - Yahoo Finance",1.0
TSLA,NASDAQ,2025-09-15,423.1300048828125,425.70001220703125,402.42999267578125,410.0400085449219,163823700,0.03561147147692467,nan,373.9100036621094,347.2490005493164,77.12500769854682,"Bard Financial Services Inc. Sells 3,020 Shares of Tesla, Inc. $TSLA - MarketBeat | TSLA: Tesla Stock Jumps After Musk's Billion-Dollar Insider Purchase - uk.finance.yahoo.com | Elon Musk buys $1B in Tesla stock: What it signals to investors - Yahoo Finance",0.0
TSLA,NASDAQ,2025-09-16,414.5,423.25,411.42999267578125,421.6199951171875,103769900,0.028241113869250656,0.029789692326436978,388.8400024414062,351.57200012207034,78.3312910006425,"Burr Financial Services LLC Reduces Stock Position in Tesla, Inc. $TSLA - MarketBeat | TSLA: Tesla Climbs Again Despite Regulators Launch Model Y Door Handle Probe - uk.finance.yahoo.com",0.0
TSLA,NASDAQ,2025-09-17,415.6050109863281,419.4800109863281,409.6700134277344,419.08099365234375,43054343,-0.006022013885129018,0.029301393684736582,403.09819946289065,356.0605499267578,78.0348319783952,"Tesla, Inc. $TSLA Shares Bought by Krilogy Financial LLC - MarketBeat | Tesla (TSLA) Stock: TD Cowen Reiterates Buy Rating, Price Target $374 - Yahoo Finance | Beacon Financial Group Buys 937 Shares of Tesla, Inc. $TSLA - MarketBeat | Wedbush Reiterates Outperform on Tesla (TSLA), Calls Musk a ‘Wartime CEO’ - Yahoo Finance",1.0
